date,ticker,close,low,high,volume,variation
2024-04-18,CMT,1409.0,1400.0,1420.0,610.0,1.37
2024-04-19,CMT,1394.0,1392.0,1418.0,543.0,-1.06
2024-04-22,CMT,1339.0,1339.0,1400.0,2022.0,-3.95
2024-04-23,CMT,1329.0,1300.0,1350.0,1232.0,-0.75
2024-04-24,CMT,1300.0,1300.0,1338.0,2332.0,-2.18
2024-04-25,CMT,1300.0,1290.0,1328.0,363.0,0.0
2024-04-26,CMT,1300.0,1285.0,1301.0,3822.0,0.0
2024-04-29,CMT,1327.0,1300.0,1339.0,377.0,2.08
2024-04-30,CMT,1320.0,1300.0,1320.0,159.0,-0.53
2024-05-02,CMT,1291.0,1291.0,1319.0,1491.0,-2.2
2024-05-03,CMT,1270.0,1270.0,1300.0,4443.0,-1.63
2024-05-06,CMT,1277.0,1250.0,1354.0,1650.0,0.55
2024-05-07,CMT,1294.0,1255.0,1299.0,44.0,1.33
2024-05-08,CMT,1289.0,1260.0,1299.0,440.0,-0.39
2024-05-09,CMT,1270.0,1267.0,1295.0,566.0,-1.47
2024-05-10,CMT,1396.0,1331.0,1396.0,7322.0,9.92
2024-05-13,CMT,1398.0,1380.0,1419.0,2909.0,0.14
2024-05-14,CMT,1388.0,1383.0,1395.0,652.0,-0.72
2024-05-15,CMT,1384.0,1370.0,1389.0,433.0,-0.29
2024-05-16,CMT,1360.0,1340.0,1369.0,1156.0,-1.73
2024-05-17,CMT,1390.0,1346.0,1390.0,747.0,2.21
2024-05-20,CMT,1430.0,1387.0,1430.0,5219.0,2.88
2024-05-21,CMT,1490.0,1451.0,1547.0,8663.0,4.2
2024-05-22,CMT,1506.0,1476.0,1527.0,7852.0,1.07
2024-05-23,CMT,1550.0,1506.0,1585.0,3776.0,2.92
2024-05-24,CMT,1575.0,1556.0,1575.0,871.0,1.61
2024-05-27,CMT,1481.0,1456.0,1520.0,3412.0,-5.97
2024-05-28,CMT,1519.0,1470.0,1539.0,1957.0,2.57
2024-05-29,CMT,1538.0,1513.0,1550.0,692.0,1.25
2024-05-30,CMT,1520.0,1500.0,1540.0,1040.0,-1.17
2024-05-31,CMT,1472.0,1471.0,1500.0,749.0,-3.16
2024-06-03,CMT,1450.0,1448.0,1505.0,862.0,-1.49
2024-06-04,CMT,1425.0,1410.0,1460.0,434.0,-1.72
2024-06-05,CMT,1370.0,1361.0,1425.0,536.0,-3.86
2024-06-06,CMT,1420.0,1399.0,1420.0,204.0,3.65
